Iter=1, Average Loss=7.530666, Time Elapsed=00:01
Iter=2, Average Loss=7.509250, Time Elapsed=00:02
Iter=3, Average Loss=7.419690, Time Elapsed=00:03
Iter=4, Average Loss=7.405951, Time Elapsed=00:04
Iter=5, Average Loss=7.333427, Time Elapsed=00:05
Iter=6, Average Loss=7.298558, Time Elapsed=00:06
Iter=7, Average Loss=7.406442, Time Elapsed=00:07
Iter=8, Average Loss=7.214407, Time Elapsed=00:08
Iter=9, Average Loss=7.154194, Time Elapsed=00:08
Iter=10, Average Loss=7.116662, Time Elapsed=00:09
Iter=11, Average Loss=7.092501, Time Elapsed=00:10
Iter=12, Average Loss=6.943383, Time Elapsed=00:11
Iter=13, Average Loss=7.044022, Time Elapsed=00:12
Iter=14, Average Loss=6.872660, Time Elapsed=00:13
Iter=15, Average Loss=6.753422, Time Elapsed=00:14
Iter=16, Average Loss=6.789949, Time Elapsed=00:15
Iter=17, Average Loss=6.801953, Time Elapsed=00:16
Iter=18, Average Loss=6.713888, Time Elapsed=00:17
Iter=19, Average Loss=6.572654, Time Elapsed=00:18
Iter=20, Average Loss=6.376537, Time Elapsed=00:18
Iter=21, Average Loss=6.369553, Time Elapsed=00:19
Iter=22, Average Loss=6.532911, Time Elapsed=00:20
Iter=23, Average Loss=6.119562, Time Elapsed=00:21
Iter=24, Average Loss=6.415793, Time Elapsed=00:22
Iter=25, Average Loss=5.975986, Time Elapsed=00:23
Iter=26, Average Loss=6.043153, Time Elapsed=00:24
Iter=27, Average Loss=5.957495, Time Elapsed=00:25
Iter=28, Average Loss=5.930204, Time Elapsed=00:26
Iter=29, Average Loss=5.758292, Time Elapsed=00:27
Iter=30, Average Loss=5.893338, Time Elapsed=00:28
Iter=31, Average Loss=5.815803, Time Elapsed=00:29
Iter=32, Average Loss=5.805671, Time Elapsed=00:29
Iter=33, Average Loss=5.475367, Time Elapsed=00:30
Iter=34, Average Loss=5.354882, Time Elapsed=00:31
Iter=35, Average Loss=5.890490, Time Elapsed=00:32
Iter=36, Average Loss=5.333352, Time Elapsed=00:33
Iter=37, Average Loss=5.564062, Time Elapsed=00:34
Iter=38, Average Loss=5.582130, Time Elapsed=00:35
Iter=39, Average Loss=5.728342, Time Elapsed=00:36
Iter=40, Average Loss=5.152812, Time Elapsed=00:37
Iter=41, Average Loss=5.147073, Time Elapsed=00:38
