Training loss=2.142772
Validation loss=2.575057
Min Validation loss=2.581902
Iteration of min validation loss=7700

Iterations trained=8450
Duration=69:10

Number of training examples=2925
Number of validation examples=100

Batch size=10
Learning rate=0.001000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=100

Iter=1, Training Loss=7.559462, Validation Loss=7.468549, Time Elapsed=00:05
Iter=2, Training Loss=7.442720, Validation Loss=7.468549, Time Elapsed=00:05
Iter=3, Training Loss=7.436820, Validation Loss=7.468549, Time Elapsed=00:06
Iter=4, Training Loss=7.531178, Validation Loss=7.468549, Time Elapsed=00:06
Iter=5, Training Loss=7.447189, Validation Loss=7.468549, Time Elapsed=00:07
Iter=6, Training Loss=7.500935, Validation Loss=7.468549, Time Elapsed=00:07
Iter=7, Training Loss=7.493817, Validation Loss=7.468549, Time Elapsed=00:08
Iter=8, Training Loss=7.513691, Validation Loss=7.468549, Time Elapsed=00:08
Iter=9, Training Loss=7.393500, Validation Loss=7.468549, Time Elapsed=00:09
Iter=10, Training Loss=7.421615, Validation Loss=7.468549, Time Elapsed=00:09
Iter=11, Training Loss=7.465681, Validation Loss=7.424559, Time Elapsed=00:10
Iter=12, Training Loss=7.371163, Validation Loss=7.424559, Time Elapsed=00:11
Iter=13, Training Loss=7.331517, Validation Loss=7.424559, Time Elapsed=00:11
Iter=14, Training Loss=7.468162, Validation Loss=7.424559, Time Elapsed=00:12
Iter=15, Training Loss=7.428402, Validation Loss=7.424559, Time Elapsed=00:12
Iter=16, Training Loss=7.277243, Validation Loss=7.424559, Time Elapsed=00:13
Iter=17, Training Loss=7.434542, Validation Loss=7.424559, Time Elapsed=00:13
Iter=18, Training Loss=7.378442, Validation Loss=7.424559, Time Elapsed=00:13
Iter=19, Training Loss=7.385780, Validation Loss=7.424559, Time Elapsed=00:14
Iter=20, Training Loss=7.335090, Validation Loss=7.424559, Time Elapsed=00:14
Iter=21, Training Loss=7.308196, Validation Loss=7.344581, Time Elapsed=00:16
Iter=22, Training Loss=7.456419, Validation Loss=7.344581, Time Elapsed=00:16
Iter=23, Training Loss=7.298524, Validation Loss=7.344581, Time Elapsed=00:17
Iter=24, Training Loss=7.353000, Validation Loss=7.344581, Time Elapsed=00:17
Iter=25, Training Loss=7.325182, Validation Loss=7.344581, Time Elapsed=00:18
Iter=26, Training Loss=7.337195, Validation Loss=7.344581, Time Elapsed=00:18
Iter=27, Training Loss=7.316197, Validation Loss=7.344581, Time Elapsed=00:19
Iter=28, Training Loss=7.327536, Validation Loss=7.344581, Time Elapsed=00:19
Iter=29, Training Loss=7.183003, Validation Loss=7.344581, Time Elapsed=00:20
Iter=30, Training Loss=7.222471, Validation Loss=7.344581, Time Elapsed=00:20
Iter=31, Training Loss=7.262148, Validation Loss=7.234571, Time Elapsed=00:21
Iter=32, Training Loss=7.332988, Validation Loss=7.234571, Time Elapsed=00:22
Iter=33, Training Loss=7.268304, Validation Loss=7.234571, Time Elapsed=00:22
Iter=34, Training Loss=7.173544, Validation Loss=7.234571, Time Elapsed=00:22
Iter=35, Training Loss=7.258046, Validation Loss=7.234571, Time Elapsed=00:23
Iter=36, Training Loss=7.121389, Validation Loss=7.234571, Time Elapsed=00:23
Iter=37, Training Loss=7.173070, Validation Loss=7.234571, Time Elapsed=00:24
Iter=38, Training Loss=7.274197, Validation Loss=7.234571, Time Elapsed=00:24
Iter=39, Training Loss=7.176669, Validation Loss=7.234571, Time Elapsed=00:25
Iter=40, Training Loss=7.229918, Validation Loss=7.234571, Time Elapsed=00:25
Iter=41, Training Loss=7.038566, Validation Loss=7.161543, Time Elapsed=00:26
Iter=42, Training Loss=7.102584, Validation Loss=7.161543, Time Elapsed=00:26
Iter=43, Training Loss=7.052251, Validation Loss=7.161543, Time Elapsed=00:27
Iter=44, Training Loss=7.030957, Validation Loss=7.161543, Time Elapsed=00:27
Iter=45, Training Loss=7.086198, Validation Loss=7.161543, Time Elapsed=00:28
Iter=46, Training Loss=7.023257, Validation Loss=7.161543, Time Elapsed=00:28
Iter=47, Training Loss=7.202807, Validation Loss=7.161543, Time Elapsed=00:29
Iter=48, Training Loss=7.340622, Validation Loss=7.161543, Time Elapsed=00:29
Iter=49, Training Loss=7.048477, Validation Loss=7.161543, Time Elapsed=00:29
Iter=50, Training Loss=6.935586, Validation Loss=7.161543, Time Elapsed=00:30
Iter=51, Training Loss=7.045701, Validation Loss=7.001170, Time Elapsed=00:31
Iter=52, Training Loss=6.968806, Validation Loss=7.001170, Time Elapsed=00:31
Iter=53, Training Loss=6.951551, Validation Loss=7.001170, Time Elapsed=00:32
Iter=54, Training Loss=6.904996, Validation Loss=7.001170, Time Elapsed=00:32
Iter=55, Training Loss=6.769523, Validation Loss=7.001170, Time Elapsed=00:32
Iter=56, Training Loss=7.029321, Validation Loss=7.001170, Time Elapsed=00:33
Iter=57, Training Loss=7.132607, Validation Loss=7.001170, Time Elapsed=00:33
Iter=58, Training Loss=6.952475, Validation Loss=7.001170, Time Elapsed=00:34
Iter=59, Training Loss=7.053445, Validation Loss=7.001170, Time Elapsed=00:34
Iter=60, Training Loss=6.978531, Validation Loss=7.001170, Time Elapsed=00:35
Iter=61, Training Loss=6.774552, Validation Loss=6.818215, Time Elapsed=00:36
Iter=62, Training Loss=6.776505, Validation Loss=6.818215, Time Elapsed=00:36
Iter=63, Training Loss=6.897991, Validation Loss=6.818215, Time Elapsed=00:37
Iter=64, Training Loss=6.834427, Validation Loss=6.818215, Time Elapsed=00:37
Iter=65, Training Loss=6.852677, Validation Loss=6.818215, Time Elapsed=00:37
Iter=66, Training Loss=6.823279, Validation Loss=6.818215, Time Elapsed=00:38
Iter=67, Training Loss=6.978184, Validation Loss=6.818215, Time Elapsed=00:38
Iter=68, Training Loss=6.748245, Validation Loss=6.818215, Time Elapsed=00:39
Iter=69, Training Loss=6.682852, Validation Loss=6.818215, Time Elapsed=00:39
Iter=70, Training Loss=6.591905, Validation Loss=6.818215, Time Elapsed=00:40
Iter=71, Training Loss=6.558701, Validation Loss=6.833560, Time Elapsed=00:41
Iter=72, Training Loss=6.785593, Validation Loss=6.833560, Time Elapsed=00:41
Iter=73, Training Loss=6.650314, Validation Loss=6.833560, Time Elapsed=00:41
Iter=74, Training Loss=6.365409, Validation Loss=6.833560, Time Elapsed=00:42
Iter=75, Training Loss=6.971935, Validation Loss=6.833560, Time Elapsed=00:42
Iter=76, Training Loss=6.581717, Validation Loss=6.833560, Time Elapsed=00:43
Iter=77, Training Loss=6.830627, Validation Loss=6.833560, Time Elapsed=00:43
Iter=78, Training Loss=6.819166, Validation Loss=6.833560, Time Elapsed=00:44
Iter=79, Training Loss=6.756906, Validation Loss=6.833560, Time Elapsed=00:44
Iter=80, Training Loss=6.811772, Validation Loss=6.833560, Time Elapsed=00:44
Iter=81, Training Loss=6.718333, Validation Loss=6.712381, Time Elapsed=00:46
Iter=82, Training Loss=6.528573, Validation Loss=6.712381, Time Elapsed=00:46
Iter=83, Training Loss=6.439069, Validation Loss=6.712381, Time Elapsed=00:46
Iter=84, Training Loss=6.706232, Validation Loss=6.712381, Time Elapsed=00:47
Iter=85, Training Loss=6.755924, Validation Loss=6.712381, Time Elapsed=00:47
Iter=86, Training Loss=6.531266, Validation Loss=6.712381, Time Elapsed=00:48
Iter=87, Training Loss=6.767476, Validation Loss=6.712381, Time Elapsed=00:48
Iter=88, Training Loss=6.687646, Validation Loss=6.712381, Time Elapsed=00:48
Iter=89, Training Loss=6.516891, Validation Loss=6.712381, Time Elapsed=00:49
Iter=90, Training Loss=6.665131, Validation Loss=6.712381, Time Elapsed=00:49
Iter=91, Training Loss=6.584588, Validation Loss=6.639433, Time Elapsed=00:50
Iter=92, Training Loss=6.492482, Validation Loss=6.639433, Time Elapsed=00:51
Iter=93, Training Loss=6.618557, Validation Loss=6.639433, Time Elapsed=00:51
Iter=94, Training Loss=6.566499, Validation Loss=6.639433, Time Elapsed=00:52
